

Episode 1
Event :id   1 :T_E   0.781407 :L_E   0.617586 :M   2.000036
Event :id   2 :T_E   0.882041 :L_E   0.566434 :M   2.128735
Event :id   3 :T_E   0.082854 :L_E   0.586364 :M   2.801428
Detection :station S2 :source 1   :T_D   0.977747 :A_D   0.718215 :S -1
Detection :station S3 :source 1   :T_D   0.500905 :A_D   0.956223 :S -1
Detection :station S4 :source 1   :T_D   0.935036 :A_D  -4.948825 :S 1
Detection :station S3 :source 2   :T_D   0.776664 :A_D   1.831669 :S -1
Detection :station S4 :source 2   :T_D   0.524046 :A_D  -8.050373 :S 1
Detection :station S2 :source 3   :T_D   0.431116 :A_D   1.836722 :S -1
Detection :station S3 :source 3   :T_D   0.503991 :A_D   1.868836 :S -1
Detection :station S4 :source 3   :T_D   0.059487 :A_D   0.048879 :S 1

Episode 2
Event :id   1 :T_E   0.518964 :L_E   0.477751 :M   2.465595
Event :id   2 :T_E   0.052223 :L_E   0.549029 :M   3.293230
Event :id   3 :T_E   0.294612 :L_E   0.894432 :M   2.044060
Event :id   4 :T_E   0.350324 :L_E   0.976691 :M   2.576486
Event :id   5 :T_E   0.406516 :L_E   0.954415 :M   2.014992
Event :id   6 :T_E   0.947955 :L_E   0.177251 :M   2.304520
Event :id   7 :T_E   0.745935 :L_E   0.058398 :M   3.734496
Event :id   8 :T_E   0.747960 :L_E   0.834200 :M   2.015324
Detection :station S2 :source 1   :T_D   0.826348 :A_D   1.737924 :S -1
Detection :station S3 :source 1   :T_D   0.532656 :A_D   1.437359 :S 1
Detection :station S4 :source 1   :T_D   0.384280 :A_D  -3.563184 :S 1
Detection :station S2 :source 2   :T_D   0.446731 :A_D   2.485912 :S -1
Detection :station S3 :source 2   :T_D   0.220794 :A_D   2.258640 :S -1
Detection :station S4 :source 2   :T_D   0.446772 :A_D  -4.640642 :S 1
Detection :station S4 :source 3   :T_D   0.481634 :A_D  -3.086585 :S -1
Detection :station S4 :source 4   :T_D   0.274460 :A_D  -5.960178 :S -1
Detection :station S5 :source 4   :T_D   0.287245 :A_D   2.430767 :S 1
Detection :station S5 :source 5   :T_D   0.458245 :A_D   2.139131 :S 1
Detection :station S2 :source 6   :T_D   0.929202 :A_D   3.555888 :S 1
